Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,23512.6026,24984.27945,24709.60226,25018.30895,25528.40378,25796.38025,25251.63968,25655.10202,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,550.514974,599.2976298,648.5110696,647.9664605,625.3395388,590.0764738,549.5827599,550.0684588,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3585.905553,4615.867475,5102.489969,5258.407376,5412.692348,4170.730358,3509.604211,4100.289786,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4094.360204,4437.177794,4247.614342,4413.082887,4578.667934,3952.830781,4131.872341,4537.579056,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473,36038.2676,37231.81567,39146.54884,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,5918.315891,6856.035033,7465.13523,7510.729986,7456.598173,6429.128604,6185.063514,6239.713933,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,35037.89267,40434.36635,42086.68995,43315.14149,44443.06151,39122.04971,38517.80039,40698.84934,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13698.29344,12654.355,14398.35877,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3617.935746,3605.743117,3936.79832,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,10352.82276,10375.99422,11660.32953,11589.853,11598.75174,11901.97526,11744.81555,11394.4753,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,12174.6978,11931.204,12517.55794,12194.54959,12900.903,13602.42124,14506.60354,14803.01093,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,51936.88871,62411.78545,67864.68986,67990.29003,62327.55594,56561.41238,49896.6811,53799.93809,
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46858.04327,51374.95841,48567.69529,50716.70871,51704.54119,44206.78428,44731.01086,47290.91165,
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4131.61831,
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,231.7955369,247.2293791,250.3627366,255.372691,273.538285,304.3742207,281.1813376,292.0052103,
