Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,58.46452156,57.41257925,,,,,,
Afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,11.51685087,4.924572707,4.335081423,4.343259139,4.028906831,3.964637865,3.598475814,
Angola,AGO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,20.21587914,20.17942577,22.26218365,23.38791486,22.88505361,27.22422723,21.13145123,
Albania,ALB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,37.50839052,39.46089763,39.06029083,38.00868361,37.5295301,35.64010543,34.71952884,
Andorra,AND,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Arab World,ARB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,42.70166986,39.28285676,38.60077457,40.14124053,43.47351075,52.78967042,60.53094559,
United Arab Emirates,ARE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,74.40207643,63.56405434,60.48416288,59.9794023,64.76780099,79.11796236,85.89347781,
Argentina,ARG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,12.69010625,14.00871512,15.21281502,15.72909201,13.82376925,14.66168361,13.96969441,
Armenia,ARM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,28.4451646,35.36788787,40.0600551,42.38024049,48.91717311,45.63078261,48.75469221,
American Samoa,ASM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Antigua and Barbuda,ATG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,78.8237107,76.33218301,69.70957911,68.08814161,60.34802509,51.21935719,47.96193842,
Australia,AUS,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,125.8538144,122.8708644,121.9111428,125.4993901,129.2011021,136.9568093,142.926639,
Austria,AUT,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,98.52832394,96.06109929,94.22379903,92.55775212,87.57752521,85.83537375,84.67410358,
Azerbaijan,AZE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,17.88479732,17.28138365,19.81121936,25.21160303,30.63807713,38.52078614,26.566228,
Burundi,BDI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,18.24827625,20.32356555,18.90660058,17.39719573,16.74581902,16.45700063,16.73781082,
Belgium,BEL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,56.49649891,54.96215705,54.55146979,56.48572997,58.28300709,61.55831664,64.43092563,
Benin,BEN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,20.78523973,21.96636273,20.62666149,21.46902484,21.50413204,21.04175551,21.76224253,
Burkina Faso,BFA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,15.86636049,16.13981202,17.98295445,22.90581677,25.70238511,27.67009616,27.52611598,
Bangladesh,BGD,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,40.96132263,42.47024116,43.00066937,41.79475481,43.48048902,43.92991381,44.44878152,
Bulgaria,BGR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,68.30778296,65.57588831,66.26633224,66.25720252,59.59009126,55.4132854,52.76595428,
Bahrain,BHR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,67.69726288,69.55268022,69.14357182,69.63049056,63.87876799,73.7175434,,
"Bahamas, The",BHS,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,83.15044248,84.25728771,61.84133203,61.01506013,59.64883159,56.95907473,54.79763448,
Bosnia and Herzegovina,BIH,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,52.78868607,53.13134185,54.71402385,54.85720143,54.6607757,53.62082429,53.17782924,
Belarus,BLR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,42.81137331,37.95861837,21.77755644,22.92620252,23.63266211,27.88282009,25.8880551,
Belize,BLZ,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,62.38586118,58.66837092,56.62486835,56.59005827,56.00217943,57.75675629,57.54372225,
Bermuda,BMU,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Bolivia,BOL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,40.342284,40.79309631,44.13690581,46.67965714,50.32242015,58.06611716,64.22873168,
Brazil,BRA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,52.76465763,58.0784911,62.5192932,64.23057382,66.02852182,66.77640904,62.19369826,
Barbados,BRB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Brunei Darussalam,BRN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,36.90784235,28.12043613,27.99132643,31.19211642,33.20796807,41.43628506,44.30216472,
Bhutan,BTN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,41.45245446,46.81182794,45.71810036,45.6377762,43.81744325,45.1926017,47.0191419,
Botswana,BWA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,27.19358745,26.83720978,31.25283809,31.79112523,31.01836216,33.80630107,31.67542668,
Central African Republic,CAF,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,8.955321223,10.1019253,12.38013246,15.1190573,14.21362253,12.53923284,12.78927107,
Canada,CAN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Central Europe and the Baltics,CEB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,52.85884425,53.12358638,51.26471122,50.16171301,48.90839553,48.24580702,48.65500772,
Switzerland,CHE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,157.9108226,159.9649212,166.6928779,168.2860354,169.1649734,170.4177409,175.2647088,
Channel Islands,CHI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Chile,CHL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,98.98145325,101.2936288,104.2848553,105.7128593,108.3907983,109.88249,112.1246516,
China,CHN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,126.3002879,122.7536878,128.4961774,133.804493,140.1473966,152.5515652,156.7060819,
Cote d'Ivoire,CIV,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,16.30241216,16.81276379,16.40271197,17.99289908,19.14576839,22.01026915,22.52904732,
Cameroon,CMR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,11.32907058,12.85317586,12.86081115,13.51041969,14.27595857,15.06067524,15.62280947,
"Congo, Dem. Rep.",COD,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,3.913067127,4.358782387,5.134214813,5.710914399,6.035491444,6.585849567,8.015331877,
"Congo, Rep.",COG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,6.541317491,7.770390725,9.589222555,11.31662512,14.08653466,22.05633832,25.01690406,
Colombia,COL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,43.70300554,44.71854688,48.9231976,49.99516533,52.66369239,47.22110388,47.11457859,
Comoros,COM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,17.9156959,18.52236204,21.5140809,23.0969742,24.156597,27.00842709,26.49628225,
Cabo Verde,CPV,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,61.92935201,65.74180566,64.32432141,64.18537516,63.29313052,62.67693811,63.0191249,
Costa Rica,CRI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,44.11260728,46.00611233,47.68543479,50.3098326,53.91196641,56.07835747,59.26129229,
Caribbean small states,CSS,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,41.8620046,39.98750133,38.87070199,39.18436666,39.89551127,41.92485553,43.0464982,
Cuba,CUB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Curacao,CUW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Cayman Islands,CYM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Cyprus,CYP,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,236.2133734,244.1019507,249.290651,253.262038,250.0695789,246.1447413,227.3306663,
Czech Republic,CZE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,46.68627904,48.66512716,49.76147266,51.15970023,49.82333938,49.86101389,51.20674846,
Germany,DEU,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,87.95419486,84.59802007,83.41360133,81.66581748,79.17148343,77.67299131,77.22517136,
Djibouti,DJI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,33.11016514,30.90883396,28.93089884,31.1181925,30.95710114,30.46699355,,
Dominica,DMA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,53.10277105,55.61506649,59.1159283,57.19824432,53.34298464,51.84713239,46.52164309,
Denmark,DNK,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,193.0396935,187.2410055,182.0962722,177.0153761,173.3271585,170.502213,,
